MSE,Chi2pvalue,n,N,seed
7.023455945300345e-05,,5,5500,13
0.0001108303172631,,5,6000,42
3.2857602281402743e-05,,5,6000,67
0.0001241240454952,,5,6000,77
8.631974679838368e-05,,5,6000,69
9.36593701398986e-05,,5,6000,13
7.806413160343958e-05,,5,6500,42
0.0001143294778799,,5,6500,67
0.0001600917423394,,5,6500,77
8.380490499696441e-05,,5,6500,69
9.613194696678852e-05,,5,6500,13
8.864531463167632e-05,,5,7000,42
0.000133488315902,,5,7000,67
5.119231004665714e-05,,5,7000,77
7.69798696399206e-05,,5,7000,69
9.655747068174312e-05,,5,7000,13
0.000130421426592,,5,7500,42
7.470793371742922e-05,,5,7500,67
8.91625663375088e-05,,5,7500,77
8.367871611592805e-05,,5,7500,69
6.446238134346818e-05,,5,7500,13
2.032240256753336e-05,,5,8000,42
8.323757487558419e-05,,5,8000,67
0.0001180288787684,,5,8000,77
4.219256336704797e-05,,5,8000,69
0.0001187650264671,,5,8000,13
6.913401197914189e-05,,5,8500,42
7.263962044458336e-05,,5,8500,67
7.52912821848983e-05,,5,8500,77
4.954438426122592e-05,,5,8500,69
4.274664471470532e-05,,5,8500,13
9.507670629410272e-05,,5,9000,42
4.7240545706156256e-05,,5,9000,67
9.167036702456658e-05,,5,9000,77
0.0001066926436865,,5,9000,69
4.403128774277087e-05,,5,9000,13
0.000109284803329,,5,9500,42
8.507340235385088e-05,,5,9500,67
7.932697211991063e-05,,5,9500,77
7.325640353028238e-05,,5,9500,69
4.588070130871419e-05,,5,9500,13
0.0001001390359834,,5,10000,42
9.584682817573288e-05,,5,10000,67
0.0001211103421834,,5,10000,77
8.054121000728421e-05,,5,10000,69
0.0001022804031733,,5,10000,13
0.0041774347646714,,10,5,42
0.0220491899075881,,10,5,67
0.0146416180797411,,10,5,77
0.0101726899979203,,10,5,69
0.0151987732371178,,10,5,13
0.0020132530902414,0.4249368836918674,10,10,42
0.0041774347646714,,10,10,67
0.0102269429867691,,10,10,77
0.0084922128237787,,10,10,69
0.0098143396121812,0.4249368836918674,10,10,13
0.0036626414553249,,10,15,42
0.0028829495130584,,10,15,67
0.0037985994340814,,10,15,77
0.0100515291371749,,10,15,69
0.0097616631027719,,10,15,13
0.0073132077737047,0.4249368836918674,10,20,42
0.0037846623397447,,10,20,67
0.0033417482706375,,10,20,77
0.0011506332290313,0.4249368836918674,10,20,69
0.002822006217099,0.4249368836918674,10,20,13
0.0024067734634842,,10,25,42
0.0036507419230383,,10,25,67
0.0006333298242285,,10,25,77
0.0027878081087657,,10,25,69
0.0030937347785161,,10,25,13
0.0007271143840325,,10,30,42
0.0029040586558509,,10,30,67
0.0020819894488118,,10,30,77
0.0017110420221108,,10,30,69
0.0020285346577046,,10,30,13
0.002884295046961,,10,35,42
0.0014999599782057,,10,35,67
0.0007512369852544,,10,35,77
0.0039225895018941,,10,35,69
0.0046905512249905,,10,35,13
0.0035596582223542,,10,40,42
0.001502114498404,,10,40,67
0.0025809229185912,0.4249368836918674,10,40,77
0.0031290476296,,10,40,69
0.0018523789282329,,10,40,13
0.0019462855890345,,10,45,42
0.0012788889663883,,10,45,67
0.0015073097177677,,10,45,77
0.0015500115600483,,10,45,69
0.001402399151617,,10,45,13
0.0031312672064108,,10,50,42
0.0003729201181297,,10,50,67
0.0012958109593749,,10,50,77
0.0009759605768425,,10,50,69
0.0005344929768385,,10,50,13
0.0019240184044399,,10,60,42
0.0018319346830338,,10,60,67
0.0007251798919308,,10,60,77
0.0007728330204787,,10,60,69
0.0017843329639406,,10,60,13
0.0010009213854188,,10,70,42
0.0003442446891099,,10,70,67
0.0011521988932443,,10,70,77
0.0011207279316739,,10,70,69
0.0010350923550557,,10,70,13
0.0005525267030556,,10,80,42
0.0006397441730675,,10,80,67
